game_date,start_time_utc,away_team,home_team,away_score,home_score,winner,away_implied_win_prob,home_implied_win_prob
2026-04-11,2026-04-11 20:10:00+00:00,Los Angeles Angels,Cincinnati Reds,3,7,Cincinnati Reds,0.45,0.55
2026-04-11,2026-04-11 20:10:00+00:00,Chicago White Sox,Kansas City Royals,0,2,Kansas City Royals,0.37,0.63
2026-04-11,2026-04-11 22:10:00+00:00,New York Yankees,Tampa Bay Rays,4,5,Tampa Bay Rays,0.62,0.38
2026-04-11,2026-04-11 23:10:00+00:00,Washington Nationals,Milwaukee Brewers,3,1,Washington Nationals,0.39,0.61
2026-04-11,2026-04-11 23:15:00+00:00,San Francisco Giants,Baltimore Orioles,2,6,Baltimore Orioles,0.51,0.49
2026-04-11,2026-04-11 23:15:00+00:00,Boston Red Sox,St. Louis Cardinals,7,1,Boston Red Sox,0.56,0.44
2026-04-11,2026-04-11 23:15:00+00:00,Cleveland Guardians,Atlanta Braves,6,0,Cleveland Guardians,0.48,0.52
2026-04-12,2026-04-12 00:40:00+00:00,Colorado Rockies,San Diego Padres,5,9,San Diego Padres,0.34,0.66
2026-04-12,2026-04-12 01:10:00+00:00,Texas Rangers,Los Angeles Dodgers,3,6,Los Angeles Dodgers,0.46,0.54
2026-04-12,2026-04-12 01:40:00+00:00,Houston Astros,Seattle Mariners,7,8,Seattle Mariners,0.42,0.58
2026-04-12,2026-04-12 17:35:00+00:00,San Francisco Giants,Baltimore Orioles,2,6,Baltimore Orioles,0.47,0.53
2026-04-12,2026-04-12 17:37:00+00:00,Minnesota Twins,Toronto Blue Jays,8,2,Minnesota Twins,0.45,0.55
2026-04-12,2026-04-12 17:40:00+00:00,Los Angeles Angels,Cincinnati Reds,9,6,Los Angeles Angels,0.52,0.48
2026-04-12,2026-04-12 17:40:00+00:00,Miami Marlins,Detroit Tigers,2,8,Detroit Tigers,0.38,0.62
2026-04-12,2026-04-12 17:40:00+00:00,New York Yankees,Tampa Bay Rays,4,5,Tampa Bay Rays,0.58,0.42
2026-04-12,2026-04-12 18:10:00+00:00,Chicago White Sox,Kansas City Royals,6,5,Chicago White Sox,0.38,0.62
2026-04-12,2026-04-12 18:10:00+00:00,Washington Nationals,Milwaukee Brewers,8,6,Washington Nationals,0.33,0.67
2026-04-12,2026-04-12 18:15:00+00:00,Boston Red Sox,St. Louis Cardinals,9,3,Boston Red Sox,0.53,0.47
2026-04-12,2026-04-12 18:20:00+00:00,Pittsburgh Pirates,Chicago Cubs,6,7,Chicago Cubs,0.45,0.55
2026-04-12,2026-04-12 20:10:00+00:00,Colorado Rockies,San Diego Padres,2,7,San Diego Padres,0.34,0.66
2026-04-12,2026-04-12 20:10:00+00:00,Houston Astros,Seattle Mariners,1,6,Seattle Mariners,0.38,0.62
2026-04-12,2026-04-12 20:10:00+00:00,Texas Rangers,Los Angeles Dodgers,5,2,Texas Rangers,0.47,0.53
2026-04-12,2026-04-12 23:20:00+00:00,Cleveland Guardians,Atlanta Braves,1,13,Atlanta Braves,0.37,0.63
2026-04-13,2026-04-13 20:10:00+00:00,Houston Astros,Seattle Mariners,2,6,Seattle Mariners,0.39,0.61
2026-04-13,2026-04-13 22:40:00+00:00,Washington Nationals,Pittsburgh Pirates,5,16,Pittsburgh Pirates,0.34,0.66
2026-04-13,2026-04-13 22:40:00+00:00,Chicago Cubs,Philadelphia Phillies,7,13,Philadelphia Phillies,0.38,0.62
2026-04-13,2026-04-13 23:05:00+00:00,Los Angeles Angels,New York Yankees,10,11,New York Yankees,0.38,0.62
2026-04-13,2026-04-13 23:15:00+00:00,Miami Marlins,Atlanta Braves,10,4,Miami Marlins,0.43,0.57
