game_date,start_time_utc,away_team,home_team,away_score,home_score,winner,away_implied_win_prob,home_implied_win_prob
2026-08-04,2026-08-04 23:40:00+00:00,Minnesota Twins,Kansas City Royals,2,8,Kansas City Royals,0.58,0.42
2026-08-04,2026-08-04 23:40:00+00:00,Pittsburgh Pirates,Milwaukee Brewers,2,4,Milwaukee Brewers,0.42,0.58
2026-08-05,2026-08-05 00:05:00+00:00,Los Angeles Dodgers,Chicago Cubs,1,5,Chicago Cubs,0.47,0.53
2026-08-05,2026-08-05 00:05:00+00:00,San Francisco Giants,Texas Rangers,4,5,Texas Rangers,0.39,0.61
2026-08-05,2026-08-05 00:10:00+00:00,Toronto Blue Jays,Houston Astros,2,7,Houston Astros,0.43,0.57
2026-08-05,2026-08-05 00:40:00+00:00,Tampa Bay Rays,Colorado Rockies,9,7,Tampa Bay Rays,0.59,0.41
2026-08-05,2026-08-05 01:40:00+00:00,Detroit Tigers,Seattle Mariners,8,0,Detroit Tigers,0.44,0.56
2026-08-05,2026-08-05 18:10:00+00:00,Toronto Blue Jays,Houston Astros,5,4,Toronto Blue Jays,0.33,0.67
2026-08-05,2026-08-05 18:20:00+00:00,Los Angeles Dodgers,Chicago Cubs,6,7,Chicago Cubs,0.48,0.52
2026-08-05,2026-08-05 18:35:00+00:00,San Francisco Giants,Texas Rangers,0,6,Texas Rangers,0.4,0.6
2026-08-05,2026-08-05 19:10:00+00:00,Tampa Bay Rays,Colorado Rockies,4,0,Tampa Bay Rays,0.61,0.39
2026-08-05,2026-08-05 22:35:00+00:00,Los Angeles Angels,Baltimore Orioles,2,5,Baltimore Orioles,0.45,0.55
2026-08-05,2026-08-05 22:40:00+00:00,New York Mets,Cleveland Guardians,6,5,New York Mets,0.49,0.51
2026-08-05,2026-08-05 22:40:00+00:00,Washington Nationals,Philadelphia Phillies,10,4,Washington Nationals,0.36,0.64
2026-08-05,2026-08-05 23:05:00+00:00,St. Louis Cardinals,New York Yankees,3,1,St. Louis Cardinals,0.41,0.59
2026-08-05,2026-08-05 23:10:00+00:00,Chicago White Sox,Boston Red Sox,0,4,Boston Red Sox,0.44,0.56
2026-08-05,2026-08-05 23:15:00+00:00,Miami Marlins,Atlanta Braves,1,4,Atlanta Braves,0.46,0.54
2026-08-05,2026-08-05 23:40:00+00:00,Minnesota Twins,Kansas City Royals,1,2,Kansas City Royals,0.48,0.52
2026-08-05,2026-08-05 23:40:00+00:00,Pittsburgh Pirates,Milwaukee Brewers,2,4,Milwaukee Brewers,0.45,0.55
2026-08-06,2026-08-06 01:40:00+00:00,Detroit Tigers,Seattle Mariners,2,4,Seattle Mariners,0.45,0.55
2026-08-06,2026-08-06 16:35:00+00:00,Los Angeles Angels,Baltimore Orioles,4,1,Los Angeles Angels,0.36,0.64
2026-08-06,2026-08-06 17:10:00+00:00,New York Mets,Cleveland Guardians,13,6,New York Mets,0.47,0.53
2026-08-06,2026-08-06 18:10:00+00:00,Pittsburgh Pirates,Milwaukee Brewers,2,5,Milwaukee Brewers,0.46,0.54
2026-08-06,2026-08-06 18:20:00+00:00,Toronto Blue Jays,Chicago Cubs,2,3,Chicago Cubs,0.52,0.48
2026-08-06,2026-08-06 20:10:00+00:00,Detroit Tigers,Seattle Mariners,11,0,Detroit Tigers,0.47,0.53
2026-08-06,2026-08-06 22:05:00+00:00,Washington Nationals,Philadelphia Phillies,3,7,Philadelphia Phillies,0.26,0.74
2026-08-06,2026-08-06 23:10:00+00:00,Chicago White Sox,Boston Red Sox,11,12,Boston Red Sox,0.37,0.63
2026-08-06,2026-08-06 23:15:00+00:00,Miami Marlins,Atlanta Braves,3,11,Atlanta Braves,0.41,0.59
2026-08-06,2026-08-06 23:40:00+00:00,Minnesota Twins,Kansas City Royals,4,3,Minnesota Twins,0.45,0.55
2026-08-07,2026-08-07 22:40:00+00:00,New York Mets,Pittsburgh Pirates,6,4,New York Mets,0.45,0.55
2026-08-07,2026-08-07 22:40:00+00:00,Toronto Blue Jays,Philadelphia Phillies,5,4,Toronto Blue Jays,0.34,0.66
2026-08-07,2026-08-07 22:45:00+00:00,Cincinnati Reds,Washington Nationals,3,5,Washington Nationals,0.48,0.52
2026-08-07,2026-08-07 23:05:00+00:00,Atlanta Braves,New York Yankees,2,3,New York Yankees,0.46,0.54
2026-08-07,2026-08-07 23:10:00+00:00,Los Angeles Angels,Miami Marlins,4,3,Los Angeles Angels,0.41,0.59
2026-08-07,2026-08-07 23:40:00+00:00,Cleveland Guardians,Chicago White Sox,8,2,Cleveland Guardians,0.58,0.42
2026-08-07,2026-08-07 23:40:00+00:00,Minnesota Twins,Milwaukee Brewers,8,6,Minnesota Twins,0.38,0.62
2026-08-08,2026-08-08 00:10:00+00:00,Chicago Cubs,Kansas City Royals,6,4,Chicago Cubs,0.62,0.38
2026-08-08,2026-08-08 00:15:00+00:00,Colorado Rockies,St. Louis Cardinals,2,3,St. Louis Cardinals,0.4,0.6
2026-08-08,2026-08-08 00:15:00+00:00,Baltimore Orioles,Texas Rangers,1,2,Texas Rangers,0.45,0.55
2026-08-08,2026-08-08 01:40:00+00:00,Houston Astros,San Diego Padres,6,3,Houston Astros,0.46,0.54
2026-08-08,2026-08-08 01:45:00+00:00,Tampa Bay Rays,Seattle Mariners,2,1,Tampa Bay Rays,0.48,0.52
2026-08-08,2026-08-08 02:15:00+00:00,Detroit Tigers,San Francisco Giants,2,5,San Francisco Giants,0.51,0.49
2026-08-08,2026-08-08 19:05:00+00:00,Atlanta Braves,New York Yankees,4,5,New York Yankees,0.59,0.41
2026-08-08,2026-08-08 20:10:00+00:00,Los Angeles Angels,Miami Marlins,0,7,Miami Marlins,0.41,0.59
2026-08-08,2026-08-08 22:05:00+00:00,Toronto Blue Jays,Philadelphia Phillies,7,5,Toronto Blue Jays,0.38,0.62
2026-08-08,2026-08-08 22:40:00+00:00,New York Mets,Pittsburgh Pirates,0,9,Pittsburgh Pirates,0.47,0.53
2026-08-08,2026-08-08 22:45:00+00:00,Cincinnati Reds,Washington Nationals,2,8,Washington Nationals,0.57,0.43
2026-08-08,2026-08-08 23:10:00+00:00,Chicago Cubs,Kansas City Royals,3,6,Kansas City Royals,0.59,0.41
2026-08-08,2026-08-08 23:10:00+00:00,Minnesota Twins,Milwaukee Brewers,3,4,Milwaukee Brewers,0.43,0.57
2026-08-08,2026-08-08 23:15:00+00:00,Houston Astros,San Diego Padres,2,3,San Diego Padres,0.48,0.52
2026-08-08,2026-08-08 23:15:00+00:00,Detroit Tigers,San Francisco Giants,8,0,Detroit Tigers,0.53,0.47
2026-08-08,2026-08-08 23:15:00+00:00,Colorado Rockies,St. Louis Cardinals,8,6,Colorado Rockies,0.41,0.59
2026-08-08,2026-08-08 23:15:00+00:00,Baltimore Orioles,Texas Rangers,1,5,Texas Rangers,0.42,0.58
2026-08-08,2026-08-08 23:15:00+00:00,Cleveland Guardians,Chicago White Sox,3,6,Chicago White Sox,0.56,0.44
2026-08-09,2026-08-09 01:50:00+00:00,Tampa Bay Rays,Seattle Mariners,3,2,Tampa Bay Rays,0.49,0.51
2026-08-09,2026-08-09 16:15:00+00:00,Cincinnati Reds,Washington Nationals,1,7,Washington Nationals,0.5,0.5
2026-08-09,2026-08-09 17:35:00+00:00,New York Mets,Pittsburgh Pirates,11,1,New York Mets,0.43,0.57
2026-08-09,2026-08-09 17:35:00+00:00,Toronto Blue Jays,Philadelphia Phillies,6,7,Philadelphia Phillies,0.32,0.68
2026-08-09,2026-08-09 17:35:00+00:00,Atlanta Braves,New York Yankees,2,1,Atlanta Braves,0.43,0.57
2026-08-09,2026-08-09 17:40:00+00:00,Los Angeles Angels,Miami Marlins,3,12,Miami Marlins,0.43,0.57
2026-08-09,2026-08-09 18:10:00+00:00,Chicago Cubs,Kansas City Royals,10,2,Chicago Cubs,0.61,0.39
2026-08-09,2026-08-09 18:10:00+00:00,Cleveland Guardians,Chicago White Sox,3,5,Chicago White Sox,0.55,0.45
2026-08-09,2026-08-09 18:10:00+00:00,Minnesota Twins,Milwaukee Brewers,3,4,Milwaukee Brewers,0.29,0.71
2026-08-09,2026-08-09 18:15:00+00:00,Colorado Rockies,St. Louis Cardinals,4,7,St. Louis Cardinals,0.39,0.61
2026-08-09,2026-08-09 18:35:00+00:00,Baltimore Orioles,Texas Rangers,10,5,Baltimore Orioles,0.46,0.54
2026-08-09,2026-08-09 20:05:00+00:00,Detroit Tigers,San Francisco Giants,3,1,Detroit Tigers,0.55,0.45
